Member State,Year,Fund,Total Paid,Advance,Interim,Absorption (%)
Hungary,2010,CF,611475007.6,172846324.3,438628683.2,20.7
Spain,2010,ESF,361342826.5,0,361342826.5,18
Spain,2010,TOTAL,4077622275.7,0,4077622275.7,22.5
Bulgaria,2010,ERDF,349178712.2,0,349178712.2,20.2
Bulgaria,2010,ESF,42897519.4,0,42897519.4,12.7
Malta,2010,CF,32538383.7,0,32538383.7,22
Estonia,2010,TOTAL,527916864.4,38695322.1,489221542.3,35
Austria,2010,TOTAL,118341338.8,0,118341338.8,29.4
EU28,2010,CF,5625973091.7,403829659.7,5222143431.9,20.5
Austria,2010,ESF,51980866.5,0,51980866.5,35.8
Poland,2010,ESF,966715588,0,966715588,23.9
Lithuania,2010,TOTAL,871817945.1,87236983.9,784580961.2,34.1
Bulgaria,2010,CF,5055639.9,0,5055639.9,10.7
Cyprus,2010,ESF,12980070.6,0,12980070.6,20
Croatia,2010,ESF,0,0,0,0
Slovenia,2010,ERDF,252704619.3,0,252704619.3,26.1
Slovakia,2010,ESF,46960973.7,0,46960973.7,14
Croatia,2010,TOTAL,4258140.6,0,4258140.6,5.5
Greece,2010,ESF,292445396.7,0,292445396.7,14.8
Greece,2010,TOTAL,2270840607.6,0,2270840607.6,21.9
Bulgaria,2010,TOTAL,397131871.6,0,397131871.6,15.6
Luxembourg,2010,ESF,437918,0,437918,14.5
Slovakia,2010,CF,401792477.1,0,401792477.1,20.9
France,2010,ERDF,821235127,0,821235127,22.7
Finland,2010,TOTAL,147719664.3,0,147719664.3,25.8
Cyprus,2010,ERDF,22291905.6,0,22291905.6,27.4
Ireland,2010,ESF,52053222.3,0,52053222.3,42.4
Belgium,2010,ERDF,96618910.8,0,96618910.8,27
Netherlands,2010,ESF,67871383.6,0,67871383.6,16.1
Latvia,2010,TOTAL,463964328,52821679.7,411142648.3,25.1
Slovakia,2010,ERDF,573472941.8,0,573472941.8,18.8
Portugal,2010,CF,236489848.2,0,236489848.2,17.4
Finland,2010,ESF,36816427.1,0,36816427.1,22.2
Romania,2010,ERDF,159273823.4,0,159273823.4,12
Estonia,2010,ESF,79290962.3,15660693.2,63630269.1,39.3
Greece,2010,ERDF,1718258112.2,0,1718258112.2,26.2
Germany,2010,ERDF,1717287948.2,0,1717287948.2,28.2
Poland,2010,CF,1328185276.2,0,1328185276.2,19.5
Sweden,2010,ERDF,92736156.8,0,92736156.8,27.5
Estonia,2010,CF,109672035.6,23034628.9,86637406.7,23.6
Spain,2010,ERDF,2405311809.1,0,2405311809.1,20.6
Latvia,2010,ESF,157212663.6,22026148.7,135186515,38.9
Germany,2010,TOTAL,2845429397.3,0,2845429397.3,28.6
Austria,2010,ERDF,66360472.2,0,66360472.2,24.2
Malta,2010,ERDF,28101084.2,0,28101084.2,15.7
Portugal,2010,ESF,906332832.1,0,906332832.1,32.7
Croatia,2010,CF,1064781,0,1064781,6.1
Netherlands,2010,TOTAL,150162998.4,0,150162998.4,17.4
Denmark,2010,ERDF,19953011.3,0,19953011.3,16.6
Belgium,2010,ESF,8265347.8,0,8265347.8,19.7
EU28,2010,ESF,6734850731.9,371348557.7,6363502174.2,23
Poland,2010,TOTAL,6850960263.8,0,6850960263.9,23.2
Romania,2010,CF,175172828.5,131048460.6,44124367.9,13.9
Lithuania,2010,CF,323136916,46104714.9,277032201.2,31.2
Spain,2010,CF,1310967640.1,0,1310967640.1,44.5
EU28,2010,TOTAL,32210254862.4,775178217.4,31435076645,22.2
Sweden,2010,TOTAL,175258083.9,0,175258083.9,26.9
Greece,2010,CF,260137098.7,0,260137098.7,15.9
Finland,2010,ERDF,110903237.2,0,110903237.2,28.1
United Kingdom,2010,ERDF,763568895.4,0,763568895.4,24.7
Malta,2010,ESF,5259247,0,5259247,13.8
Romania,2010,ESF,171282418.3,147365904.7,23916513.6,13.7
Czech republic,2010,CF,523325347.8,0,523325347.8,19.3
Sweden,2010,ESF,82521927.1,0,82521927.1,26.1
Czech republic,2010,ERDF,1348324362.8,0,1348324362.8,22.4
Latvia,2010,ERDF,139219269.1,0,139219269.1,22.8
Luxembourg,2010,ERDF,2559460.6,0,2559460.6,17.6
Cyprus,2010,TOTAL,66931268.3,0,66931268.3,26.2
Ireland,2010,TOTAL,96639681.7,0,96639681.7,36.2
Denmark,2010,ESF,21647823.3,0,21647823.3,22.9
Portugal,2010,ERDF,1476161740.5,0,1476161740.5,22.8
Cyprus,2011,ESF,13194155.5,0,13194155.5,31
Greece,2011,CF,494714154.5,0,494714154.5,29.3
Netherlands,2011,TOTAL,269714755.5,0,269714755.5,33.6
Portugal,2011,CF,74487855.4,0,74487855.4,19.9
Netherlands,2011,ESF,92952519.3,0,92952519.3,27.3
Denmark,2011,ERDF,65794007.4,0,65794007.4,42.4
Italy,2011,ESF,708255624,0,708255624,29.1
Slovenia,2011,ESF,70738138,0,70738138,32.6
Denmark,2011,TOTAL,94651647.5,0,94651647.5,38.3
Italy,2011,ERDF,1187602660.4,0,1187602660.4,19.3
Latvia,2011,CF,130700037.3,0,130700037.3,32.1
Romania,2011,ESF,183784028.3,0,183784028.3,18.7
Portugal,2011,ESF,1139249926.7,0,1139249926.7,49.4
Latvia,2011,ESF,123458546.8,0,123458546.8,60
Malta,2011,ESF,10316696.9,0,10316696.9,23
Czech republic,2011,ESF,240768874.6,0,240768874.6,22.1
Cyprus,2011,ERDF,21491196,0,21491196,35.1
Ireland,2011,ERDF,23097118.3,0,23097118.3,36.1
Slovakia,2011,TOTAL,1022233984.8,0,1022233984.8,27.8
Poland,2011,ESF,1631890909.7,0,1631890909.7,40.2
Romania,2011,TOTAL,698562149.2,0,698562149.2,16.6
Belgium,2011,ESF,137211703.9,0,137211703.9,32.5
Portugal,2011,TOTAL,2684285532.9,0,2684285532.9,37.8
Romania,2011,ERDF,415981335.4,0,415981335.4,16.7
Latvia,2011,ERDF,257870653.2,0,257870653.2,33.5
Poland,2011,CF,2544422783.4,0,2544422783.4,30.8
Czech republic,2011,CF,0,0,0,19.3
Finland,2011,ERDF,132292779.1,0,132292779.1,41.6
Romania,2011,CF,98796785.5,0,98796785.5,15.4
Luxembourg,2011,TOTAL,12382086.4,0,12382086.4,40.6
Belgium,2011,TOTAL,186195430.3,0,186195430.3,32.2
Estonia,2011,TOTAL,239059763.8,0,239059763.8,42
Austria,2011,TOTAL,127691464.1,0,127691464.1,40.3
Portugal,2011,ERDF,1470547750.8,0,1470547750.8,35.6
